event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2024-03-24 08:42:00,,2024-03-24 08:42:00,0,,,false,1,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 3,29,false,722U27MB24,false,ON TIME,22209000,29,71023,true,DOWN,DOWN,ARRIVAL,71011,
DEPARTURE,,,2024-03-24 09:02:30,21,,,true,2,18005,2024-03-24 08:41:00,false,AUTOMATIC,IBE, 2,54,false,230D601C24,false,EARLY,54761000,54,18005,true,DOWN,DOWN,DEPARTURE,18003,G
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,5,48215,2024-03-24 08:41:00,false,AUTOMATIC,, 1,21,false,482P011C24,false,EARLY,21896002,21,48215,true,UP,UP,DEPARTURE,48218,U
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:42:30,0,,,false,1,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 2,23,false,152N03MD24,false,ON TIME,11792920,23,15223,true,DOWN,DOWN,ARRIVAL,15032,
DEPARTURE,,,2024-03-24 08:44:30,2,,,true,2,04221,2024-03-24 08:42:00,false,AUTOMATIC,,,60,false,061R22MB24,false,EARLY,23548003,60,04221,true,UP,UP,DEPARTURE,04225,S
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,1,87222,2024-03-24 08:41:00,false,AUTOMATIC,, 2,88,false,872F09MB24,false,EARLY,24783000,88,87222,true,UP,UP,DEPARTURE,87220,S
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,false,4,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 1,21,false,491Y07MC24,false,EARLY,21939001,21,50113,true,UP,UP,DEPARTURE,50211,
ARRIVAL,2024-03-24 08:40:00,,2024-03-24 08:40:00,3,,,true,1,87911,2024-03-24 08:43:00,false,AUTOMATIC,, 1,88,false,861C13MB24,false,LATE,24748000,88,87911,true,UP,UP,ARRIVAL,87905,
DEPARTURE,2024-03-24 08:40:00,,2024-03-24 08:40:30,1,,,true,2,88315,2024-03-24 08:41:00,false,AUTOMATIC,, 2,80,false,882D12MC24,false,LATE,24652005,80,88315,true,UP,UP,DEPARTURE,88314,M
DEPARTURE,,,2024-03-24 08:42:00,0,,,true,1,73106,2024-03-24 08:42:00,false,AUTOMATIC,,,86,false,731T38MD24,false,ON TIME,25905000,86,73106,true,DOWN,DOWN,DEPARTURE,73111,2
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,true,2,87722,2024-03-24 08:43:00,false,AUTOMATIC,, 2,88,false,879R18MC24,false,ON TIME,22729000,88,87722,true,UP,UP,ARRIVAL,87712,
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:42:30,1,,,true,1,87991,2024-03-24 08:43:00,false,AUTOMATIC,, 1,88,false,871H15MC24,false,LATE,24746000,88,87991,true,UP,UP,ARRIVAL,87986,
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:00,0,,,false,1,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 1,88,false,871S11MA24,false,ON TIME,24744000,88,87987,true,UP,UP,DEPARTURE,87986,
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:42:30,0,,,false,1,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 1,88,false,871S11MA24,false,ON TIME,24744000,88,87986,true,UP,UP,ARRIVAL,87985,
DEPARTURE,2024-03-24 08:40:00,,2024-03-24 08:40:00,1,,,true,1,89375,2024-03-24 08:41:00,false,AUTOMATIC,, 1,80,false,881H56MB24,false,LATE,24602004,80,89375,true,UP,UP,DEPARTURE,89374,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:44:00,1,,,true,,87601,2024-03-24 08:43:00,false,AUTOMATIC,,14,88,true,872F12MB24,false,EARLY,24782000,88,87601,true,UP,UP,DESTINATION,,
ARRIVAL,2024-03-24 08:46:00,,2024-03-24 08:46:00,3,,,true,,87201,2024-03-24 08:43:00,false,AUTOMATIC,,18,88,true,871A93MA24,false,EARLY,24747000,88,87201,true,UP,UP,DESTINATION,,
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:43:00,0,,,true,,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 0,88,true,889P91MB24,false,ON TIME,22761000,88,89018,true,DOWN,DOWN,DESTINATION,,
DEPARTURE,,,2024-03-24 08:41:00,0,,,true,2,35325,2024-03-24 08:41:00,false,AUTOMATIC,, 2,20,false,319M06MC24,false,ON TIME,21731000,20,35325,true,DOWN,DOWN,DEPARTURE,35449,C
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,64,false,362K09MD24,false,ON TIME,12303012,64,36057,true,DOWN,DOWN,ARRIVAL,36055,
