event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2024-03-24 01:14:00,,2024-03-24 01:13:30,0,,,true,1,87031,2024-03-24 01:13:00,false,AUTOMATIC,, 2,84,false,872N77M024,false,ON TIME,24672404,84,87031,true,DOWN,DOWN,ARRIVAL,87026,
DEPARTURE,2024-03-24 01:11:00,,2024-03-24 01:11:00,1,,,false,4,00000,2024-03-24 01:12:00,false,AUTOMATIC,, 4,33,false,739W64M024,false,LATE,21381901,33,50331,true,DOWN,DOWN,DEPARTURE,50328,
ARRIVAL,2024-03-24 01:16:00,,2024-03-24 01:16:00,2,,,true,,88466,2024-03-24 01:14:00,false,AUTOMATIC,, 2,88,true,895P96M024,false,EARLY,22788002,88,88466,true,UP,UP,DESTINATION,,
DEPARTURE,,,2024-03-24 01:17:00,4,,,false,3,00000,2024-03-24 01:13:00,false,AUTOMATIC,,,84,false,875C831024,false,EARLY,24676004,84,87093,true,DOWN,DOWN,DEPARTURE,87041,
DEPARTURE,,,2024-03-24 01:15:30,3,,,false,3,00000,2024-03-24 01:12:00,false,AUTOMATIC,,,88,false,542B88M124,false,EARLY,21724000,88,54245,true,DOWN,DOWN,DEPARTURE,54238,S
DEPARTURE,2024-03-24 01:10:00,,2024-03-24 01:10:30,1,,,false,4,00000,2024-03-24 01:11:00,false,AUTOMATIC,, 2,88,false,872P76M024,false,LATE,24786000,88,87708,true,DOWN,DOWN,DEPARTURE,87707,
ARRIVAL,2024-03-24 01:14:00,,2024-03-24 01:14:00,0,,,true,,87707,2024-03-24 01:14:00,false,AUTOMATIC,, 3,88,true,872P76M024,false,ON TIME,24786000,88,87707,true,DOWN,DOWN,DESTINATION,,
DEPARTURE,,,2024-03-24 01:13:30,1,,,true,1,87203,2024-03-24 01:12:00,false,AUTOMATIC,, 3,88,false,871A80M124,false,EARLY,24747000,88,87203,true,DOWN,DOWN,DEPARTURE,87230,
ARRIVAL,,,2024-03-24 01:10:00,3,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,,,84,false,875Y411024,false,LATE,24676004,84,87216,true,,,ARRIVAL,87217,
ARRIVAL,2024-03-24 01:18:00,,2024-03-24 01:18:00,5,,,true,6,70261,2024-03-24 01:13:00,false,AUTOMATIC,, 3,29,false,722N93M024,false,EARLY,22209000,29,70261,true,DOWN,DOWN,ARRIVAL,70215,3
ARRIVAL,2024-03-24 01:12:00,,2024-03-24 01:12:00,1,,,true,6,87131,2024-03-24 01:13:00,false,AUTOMATIC,, 4,84,false,875V77M124,false,LATE,24676004,84,87131,true,UP,UP,ARRIVAL,87119,
DEPARTURE,2024-03-24 00:46:00,,2024-03-24 00:46:00,26,,,true,2,04010,2024-03-24 01:12:00,false,AUTOMATIC,, 1,60,false,045H20M024,false,LATE,13560015,60,04010,true,UP,UP,DEPARTURE,07332,D
ARRIVAL,,,2024-03-24 01:04:30,9,,,true,1,88103,2024-03-24 01:13:00,false,AUTOMATIC,,,88,false,875H961024,false,LATE,24788005,88,88103,true,,,ARRIVAL,87980,
ARRIVAL,2024-03-24 01:01:00,,2024-03-24 01:01:00,13,,,true,1,87801,2024-03-24 01:14:00,false,AUTOMATIC,, 3,88,false,879W00M024,false,LATE,22721000,88,87801,true,UP,UP,ARRIVAL,87704,
DEPARTURE,2024-03-24 01:01:00,,2024-03-24 01:01:30,11,,,false,2,00000,2024-03-24 01:12:00,false,AUTOMATIC,, 3,84,false,872O79M024,false,LATE,24671505,84,87133,true,DOWN,DOWN,DEPARTURE,87131,
ARRIVAL,2024-03-24 01:15:00,,2024-03-24 01:15:00,2,,,true,5,87219,2024-03-24 01:13:00,false,AUTOMATIC,,11,84,false,871B01M124,false,EARLY,24620204,84,87219,true,DOWN,DOWN,ARRIVAL,87261,
DEPARTURE,2024-03-24 01:11:00,,2024-03-24 01:11:00,1,,,true,2,88221,2024-03-24 01:12:00,false,AUTOMATIC,, 2,88,false,885C761024,false,LATE,24788005,88,88221,true,DOWN,DOWN,DEPARTURE,88224,
ARRIVAL,,,2024-03-24 01:01:00,12,,,true,1,87169,2024-03-24 01:13:00,false,AUTOMATIC,,,84,false,871F83M024,false,LATE,24673605,84,87169,true,,,ARRIVAL,87171,
DEPARTURE,2024-03-24 01:12:00,,2024-03-24 01:12:00,0,,,true,2,50423,2024-03-24 01:12:00,false,AUTOMATIC,, 4,33,false,522W66M024,false,ON TIME,21381001,33,50423,true,DOWN,DOWN,DEPARTURE,50417,E
ARRIVAL,2024-03-24 01:15:00,,2024-03-24 01:15:00,1,,,true,2,86083,2024-03-24 01:14:00,false,AUTOMATIC,, 2,84,false,871B81M024,false,EARLY,24620204,84,86083,true,DOWN,DOWN,ARRIVAL,86051,
DEPARTURE,,,2024-03-24 01:13:00,0,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,,,88,false,875V86M024,false,ON TIME,22788002,88,88395,true,UP,UP,DEPARTURE,87245,F
DEPARTURE,2024-03-24 01:13:00,,2024-03-24 01:13:00,1,,,true,3,51016,2024-03-24 01:12:00,false,AUTOMATIC,, 3,79,false,522D78M024,false,EARLY,24936004,79,51016,true,DOWN,DOWN,DEPARTURE,51014,D
ARRIVAL,2024-03-24 01:20:00,,2024-03-24 01:19:30,6,,,true,7,87214,2024-03-24 01:13:00,false,AUTOMATIC,, 2,84,false,872S821024,false,EARLY,24671205,84,87214,true,UP,UP,ARRIVAL,87286,
DEPARTURE,,,2024-03-24 01:13:00,0,,,true,3,87149,2024-03-24 01:13:00,false,AUTOMATIC,, 2,84,false,872Z941024,false,ON TIME,24672104,84,87149,true,UP,UP,DEPARTURE,87219,F
DEPARTURE,,,2024-03-24 01:15:00,3,,,true,2,87041,2024-03-24 01:12:00,false,AUTOMATIC,, 2,84,false,745C751024,false,EARLY,24676004,84,87041,true,DOWN,DOWN,DEPARTURE,87037,
